Angul,ଅନୁଗୋଳ
Balangir,ବଲାଙ୍ଗୀର
Balasore,ବାଲେଶ୍ୱର
Baleswar,ବାଲେଶ୍ୱର
Bargarh,ବରଗଡ଼
Bhadrak,ଭଦ୍ରକ
Boudh,ବୌଦ୍ଧ
Cuttack,କଟକ
Deogarh,ଦେବଗଡ଼
Debagarh,ଦେବଗଡ଼
Dhenkanal,ଢେଙ୍କାନାଳ
Gajapati,ଗଜପତି
Ganjam,ଗଞ୍ଜାମ
Jagatsinghpur,ଜଗତସିଂହପୁର
Jajpur,ଯାଜପୁର
Jharsuguda,ଝାରସୁଗୁଡ଼ା
Kalahandi,କଳାହାଣ୍ଡି
Kandhamal,କନ୍ଧମାଳ
Kendrapara,କେନ୍ଦ୍ରାପଡ଼ା
Kendujhar,କେନ୍ଦୁଝର
Keonjhar,କେନ୍ଦୁଝର
Khordha,ଖୋର୍ଦ୍ଧା
Koraput,କୋରାପୁଟ
Malkangiri,ମାଲକାନଗିରି
Mayurbhanj,ମୟୂରଭଞ୍ଜ
Nabarangpur,ନବରଙ୍ଗପୁର
Nayagarh,ନୟାଗଡ଼
Nuapada,ନୂଆପଡ଼ା
Puri,ପୁରୀ
Rayagada,ରାୟଗଡ଼
Sambalpur,ସମ୍ବଲପୁର
Sonepur,ସୁବର୍ଣ୍ଣପୁର
Subarnapur,ସୁବର୍ଣ୍ଣପୁର
Sundargarh,ସୁନ୍ଦରଗଡ଼
Athamallik,ଆଠମଲ୍ଲିକ
Chhendipada,ଛେଣ୍ଡିପଦା
Kaniha,କଣିହା
Kishorenagar,କିଶୋରନଗର
Banarpal,ବନାରପାଳ
Pallahara,ପାଲଲହଡ଼ା
Talcher,ତାଳଚେର
Agalpur,ଅଗଲପୁର
Balangir,ବଲାଙ୍ଗୀର
Belpara,ବେଲପଡ଼ା
Deogaon ଦେଓଗାଁ
Kasturi କସ୍ତୁରୀ
Kaushalya କୌଶଲ୍ୟା
Kavita କବିତା
Kiran କିରଣ
Kishori କିଶୋରୀ
Kokila କୋକିଳା
Krushnapriya କୃଷ୍ଣପ୍ରିୟା
Kuni କୁନି
Kuntala କୁନ୍ତଳା
Lalita ଲଳିତା
Latika ଲତିକା
Laxmi ଲକ୍ଷ୍ମୀ
Laxmipriya ଲକ୍ଷ୍ମୀପ୍ରିୟା
Leela ଲୀଳା
Lili ଲିଲି
Liza ଲିଜା
Lipika ଲିପିକା
Lopamudra ଲୋପାମୁଦ୍ରା
Madhubala ମଧୁବାଲା
Madhuchhanda ମଧୁଛନ୍ଦା
Madhulika ମଧୁଲିକା
Madhusmita ମଧୁସ୍ମିତା
Malati ମାଳତୀ
Mamatamai ମମତାମୟୀ
Mamata ମମତା
Mamuni ମାମୁନି
Manasi ମାନସୀ
Manini ମାନିନୀ
Manorama ମନୋରମା
Meena ମୀନା
Meenakshi ମୀନାକ୍ଷୀ
Mili ମିଲି
Mina ମୀନା
Minakshi ମୀନାକ୍ଷୀ
Minati ମିନତି
Monalisa ମୋନାଲିସା
Muni ମୁନି
Namita ନମିତା
Nandini ନନ୍ଦିନୀ
Narmada ନର୍ମଦା
Nataraj ନଟରାଜ
Nayana ନୟନା
Neelam ନୀଲମ
Niharika ନିହାରିକା
Nilima ନୀଳିମା
Nirupama ନିରୁପମା
Nisha ନିଶା
Niti ନୀତି
Padmabati ପଦ୍ମାବତୀ
Padmaja ପଦ୍ମଜା
Padmalaya ପଦ୍ମାଳୟା
Pallavi ପଲ୍ଲବୀ
Padmini ପଦ୍ମିନୀ
Pari ପରୀ
Parbati ପାର୍ବତୀ
Payal ପାୟଲ
Pinky ପିଙ୍କି
Pooja ପୂଜା
Poonam ପୂନମ
Prabhasini ପ୍ରଭାସିନୀ
Pragyan ପ୍ରଜ୍ଞାନ
Pragyanmita ପ୍ରଜ୍ଞାନମିତା
Pranati ପ୍ରଣତି
Pratibha ପ୍ରତିଭା
Pratima ପ୍ରତିମା
Pravasini ପ୍ରଭାସିନୀ
Praveena ପ୍ରବୀଣା
Preeti ପ୍ରୀତି
Priyadarshini ପ୍ରିୟଦର୍ଶିନୀ
Priyanka ପ୍ରିୟଙ୍କା
Puja ପୂଜା
Punam ପୁନମ
Pushpa ପୁଷ୍ପ
Pushpanjali ପୁଷ୍ପାଞ୍ଜଳି
Radhika ରାଧିକା
Raimani ରାଇମଣି
Rajalaxmi ରାଜଲକ୍ଷ୍ମୀ
Rajashree ରାଜଶ୍ରୀ
Rajeshwari ରାଜେଶ୍ୱରୀ
Rakhi ରାକ୍ଷୀ
Rashmi ରଶ୍ମି
Rashmirekha ରଶ୍ମିରେଖା
Rasmita ରସ୍ମିତା
Reena ରୀନା
Rekha ରେଖା
Rina ରିନା
Rita ରିତା
Roopa ରୂପା
Rosalin ରୋଜାଲିନ
Ruchi ରୁଚି
Rupa ରୂପା
Sabita ସବିତା
Sadhana ସାଧନା
Sagarika ସାଗରିକା
Sailabala ଶୈଳବାଳା
Sairindhri ସୈରିନ୍ଧ୍ରୀ
Sakti ଶକ୍ତି
Sampada ସମ୍ପଦା
Sandhyarani ସନ୍ଧ୍ୟାରାଣୀ
Sangeeta ସଙ୍ଗୀତ
Sangita ସଙ୍ଗୀତା
Sanghamitra ସଂଘମିତ୍ରା
Sanju ସଞ୍ଜୁ
Sanjukta ସଞ୍ଜୁକ୍ତା
Santoshi ସନ୍ତୋଷୀ
Saraswati ସରସ୍ୱତୀ
Sarita ସରିତା
Sarojini ସରୋଜିନୀ
Sasmita ସସ୍ମିତା
Satyabhama ସତ୍ୟଭାମା
Satyabati ସତ୍ୟବତୀ
Savatri ସାବିତ୍ରୀ
Seema ସୀମା
Shakuntala ଶକୁନ୍ତଳା
Shanti ଶାନ୍ତି
Shantilata ଶାନ୍ତିଲତା
Shiba ଶିବ
Shobha ଶୋଭା
Shraddha ଶ୍ରଦ୍ଧା
Shreemayee ଶ୍ରୀମୟୀ
Shubhalaxmi ଶୁଭଲକ୍ଷ୍ମୀ
Sibanandini ଶିବାନନ୍ଦିନୀ
Sikha ଶିଖା
Silpa ଶିଳ୍ପା
Simran ସିମରନ
Sita ସୀତା
Smita ସ୍ମିତା
Smrutirekha ସ୍ମୃତିରେଖା
Sneha ସ୍ନେହା
Snehalata ସ୍ନେହଲତା
Sonali ସୋନାଲୀ
Suchitra ସୁଚିତ୍ରା
Sujata ସୁଜାତା
Sulagna ସୁଲଗ୍ନା
Sulochana ସୁଲୋଚନା
Sumati ସୁମତୀ
Sumitra ସୁମିତ୍ରା
Sunanda ସୁନନ୍ଦା
Sunayana ସୁନୟନା
Sunita ସୁନୀତା
Suprava ସୁପ୍ରଭା
Supriya ସୁପ୍ରିୟା
Surabhi ସୁରଭି
Surekha ସୁରେଖା
Susama ସୁଷମା
Sushmita ସୁସ୍ମିତା
Swapna ସ୍ୱପ୍ନ
Swarnalata ସ୍ୱର୍ଣ୍ଣଲତା
Tanaya ତନୟା
Tanuja ତନୁଜା
Tapashwini ତପସ୍ୱିନୀ
Trupti ତୃପ୍ତି
Tulasi ତୁଳସୀ
Uma ଉମା
Urmila ଉର୍ମିଳା
Urvashi ଉର୍ବଶୀ
Usha ଉଷା
Ushasri ଉଷାଶ୍ରୀ
Uttara ଉତ୍ତରା
Sahoo ସାହୁ
Mohanty ମହାନ୍ତି
Das ଦାସ
Behera ବେହେରା
Nayak ନାୟକ
Pradhan ପ୍ରଧାନ
Mishra ମିଶ୍ର
Jena ଜେନା
Mohapatra ମହାପାତ୍ର
Patra ପାତ୍ର
Patnaik ପଟ୍ଟନାୟକ
Biswal ବିଶ୍ୱାଳ
Rout ରାଉତ
Routray ରାଉତରାୟ
Samal ସାମଲ
Sahu ସାହୁ
Dash ଦାଶ
Satapathy ଶତପଥୀ
Rath ରଥ
Acharya ଆଚାର୍ଯ୍ୟ
Tripathy ତ୍ରିପାଠୀ
Panda ପଣ୍ଡା
Nanda ନନ୍ଦ
Dhal ଧଳ
Dalabehera ଦଳବେହେରା
Paikaray ପାଇକରାୟ
Lenka ଲେଙ୍କା
Muduli ମୁଦୁଲି
Swain ସ୍ୱାଇଁ
Mallick ମଲ୍ଲିକ
Sethy ସେଠୀ
Barik ବାରିକ
Khandayatray ଖଣ୍ଡାୟତରାୟ
Mansingh ମାନସିଂହ
Harichandan ହରିଚନ୍ଦନ
Gouda ଗୌଡ଼
Parida ପରିଡ଼ା
Prusty ପୃଷ୍ଟି
Samanth ସାମନ୍ତ
Choudhury ଚୌଧୁରୀ
Manty ମାଣ୍ଟି
Baliarsingh ବଳିଆରସିଂହ
Bhoi ଭୋଇ
Soren ସୋରେନ
Murmu ମୁର୍ମୁ
Marndi ମାର୍ଣ୍ଡି
Hembram ହେମ୍ବ୍ରମ
Tudu ଟୁଡୁ
Hansdah ହାଁସଦା
Kisku କିସ୍କୁ
Majhi ମାଝି
Dehury ଦେହୁରୀ
Meher ମେହେର
Padhi ପାଢ଼ୀ
Hota ହୋତା
Pani ପାଣି
Sarangi ଷଡ଼ଙ୍ଗୀ
Khamari ଖମାରୀ
Negi ନେଗୀ
Bagh ବାଘ
Nag ନାଗ
Deep ଦୀପ
Tanti ତନ୍ତି
Sethi ସେଠୀ
Kundu କୁଣ୍ଡୁ
Bera ବେରା
Maity ମାଇତି
Dora ଡୋରା
Pratihari ପ୍ରତିହାରୀ
Mekap ମେକାପ
Pujari ପୂଜାରୀ
Khuntia ଖୁଣ୍ଟିଆ
Singh ସିଂ
Samantray ସାମନ୍ତରାୟ
Bakshi ବକ୍ସି
Kanungo କାନୁନଗୋ
Ojha ଓଝା
Kabi କବି
Subudhi ସୁବୁଦ୍ଧି
Bhuyan ଭୂୟାଁ
Srichandan ଶ୍ରୀଚନ୍ଦନ
Mangaraj ମଙ୍ଗରାଜ
Ray ରାୟ
Munda ମୁଣ୍ଡା
Oram ଓରାମ
Kujur କୁଜୁର
Ekka ଏକ୍କା
Tirkey ତିର୍କୀ
Xalxo ଖାଲଖୋ
Toppo ଟପ୍ପୋ
Minz ମିଞ୍ଜ
Gajendra ଗଜେନ୍ଦ୍ର
Senapati ସେନାପତି
Bahubalendra ବାହୁବଳେନ୍ଦ୍ର
Haripal ହରିପାଲ
Kumbhar କୁମ୍ଭାର
Kamara କମାର
Gudia ଗୁଡ଼ିଆ
Sutar ସୁତାର
Bania ବଣିଆ
# ============================================================
# Extended dictionary appended 2026-04-26 — expands STT coverage
# beyond the original places-only set: states, cities, surnames,
# female names, days/months, loan words, gov/political terms,
# festivals, brands, time/direction. Lines without an Odia char are
# treated as comments by the parser.
# ============================================================

# === Indian states & UTs ===

states
Odisha ଓଡ଼ିଶା
Orissa ଓଡ଼ିଶା
Bihar ବିହାର
Jharkhand ଝାଡ଼ଖଣ୍ଡ
Chhattisgarh ଛତିଶଗଡ଼
Andhra Pradesh ଆନ୍ଧ୍ର ପ୍ରଦେଶ
Telangana ତେଲେଙ୍ଗାନା
Tamil Nadu ତାମିଲନାଡୁ
Karnataka କର୍ଣ୍ଣାଟକ
Kerala କେରଳ
Maharashtra ମହାରାଷ୍ଟ୍ର
Gujarat ଗୁଜରାଟ
Rajasthan ରାଜସ୍ଥାନ
Madhya Pradesh ମଧ୍ୟ ପ୍ରଦେଶ
Uttar Pradesh ଉତ୍ତର ପ୍ରଦେଶ
Uttarakhand ଉତ୍ତରାଖଣ୍ଡ
Haryana ହରିଆଣା
Punjab ପଞ୍ଜାବ
Himachal Pradesh ହିମାଚଳ ପ୍ରଦେଶ
Jammu Kashmir ଜାମ୍ମୁ କାଶ୍ମୀର
Kashmir କାଶ୍ମୀର
Assam ଆସାମ
Manipur ମଣିପୁର
Meghalaya ମେଘାଳୟ
Mizoram ମିଜୋରାମ
Nagaland ନାଗାଲାଣ୍ଡ
Sikkim ସିକ୍କିମ
Tripura ତ୍ରିପୁରା
Arunachal Pradesh ଅରୁଣାଚଳ ପ୍ରଦେଶ
Goa ଗୋଆ
Delhi ଦିଲ୍ଲୀ
New Delhi ନୂଆ ଦିଲ୍ଲୀ
West Bengal ପଶ୍ଚିମବଙ୍ଗ
Bengal ବଙ୍ଗ

# === Indian cities ===

cities
Mumbai ମୁମ୍ବାଇ
Bombay ବମ୍ବେ
Kolkata କୋଲକାତା
Calcutta କଲିକତା
Chennai ଚେନ୍ନାଇ
Madras ମାଡ୍ରାସ
Bangalore ବାଙ୍ଗାଲୋର
Bengaluru ବେଙ୍ଗାଲୁରୁ
Hyderabad ହାଇଦ୍ରାବାଦ
Pune ପୁଣେ
Ahmedabad ଅହମ୍ଦାବାଦ
Jaipur ଜୟପୁର
Lucknow ଲକ୍ଷ୍ନୌ
Ranchi ରାଞ୍ଚି
Raipur ରାୟପୁର
Visakhapatnam ବିଶାଖାପଟଣମ
Vizag ବିଜାଗ
Vijayawada ବିଜୟୱାଡ଼ା
Kanpur କାନପୁର
Nagpur ନାଗପୁର
Indore ଇନ୍ଦୋର
Bhopal ଭୋପାଳ
Surat ସୁରଟ
Vadodara ଭଡ଼ୋଦରା
Coimbatore କୋଇମ୍ବଟୋର
Kochi କୋଚି
Thiruvananthapuram ତିରୁବନନ୍ତପୁରମ
Mysore ମୈସୁର
Dehradun ଦେରାଦୂନ
Shimla ଶିମଳା
Guwahati ଗୁୱାହାଟି
Imphal ଇମ୍ଫାଳ
Shillong ଶିଲଙ୍ଗ
Gangtok ଗ୍ୟାଙ୍ଗଟୋକ
Varanasi ବାରାଣସୀ
Amritsar ଅମୃତସର
Chandigarh ଚଣ୍ଡୀଗଡ଼
Agra ଆଗ୍ରା
Allahabad ଆଲାହାବାଦ
Prayagraj ପ୍ରୟାଗରାଜ
Noida ନୋଏଡ଼ା
Gurgaon ଗୁରୁଗ୍ରାମ
Gurugram ଗୁରୁଗ୍ରାମ
Faridabad ଫରିଦାବାଦ
Ghaziabad ଗାଜିଆବାଦ
Howrah ହାୱଡ଼ା
Siliguri ଶିଳିଗୁଡ଼ି
Durgapur ଦୁର୍ଗାପୁର

# === Countries ===

countries
India ଭାରତ
America ଆମେରିକା
USA ଆମେରିକା
England ଇଂଲଣ୍ଡ
Britain ବ୍ରିଟେନ
UK ୟୁକେ
China ଚୀନ
Pakistan ପାକିସ୍ତାନ
Bangladesh ବାଂଲାଦେଶ
Nepal ନେପାଳ
Bhutan ଭୁଟାନ
Sri Lanka ଶ୍ରୀଲଙ୍କା
Russia ରୁଷିଆ
Japan ଜାପାନ
Korea କୋରିଆ
Germany ଜର୍ମାନୀ
France ଫ୍ରାନ୍ସ
Australia ଅଷ୍ଟ୍ରେଲିଆ
Canada କାନାଡ଼ା
Italy ଇଟାଲୀ
Singapore ସିଙ୍ଗାପୁର
Dubai ଦୁବାଇ
Afghanistan ଆଫଗାନିସ୍ତାନ
Iran ଇରାନ
Iraq ଇରାକ
Israel ଇସ୍ରାଏଲ
Ukraine ୟୁକ୍ରେନ

# === Common Odia surnames ===

surnames
Pattanayak ପଟ୍ଟନାୟକ
Pattnaik ପଟ୍ଟନାୟକ
Mahanty ମହାନ୍ତି
Pal ପାଲ
Tripathi ତ୍ରିପାଠୀ
Pati ପତି
Mahapatra ମହାପାତ୍ର
Tarai ତରେଇ
Choudhary ଚୌଧୁରୀ
Kar କର
Sahani ସାହାଣୀ
Bisoyi ବିଶୋୟୀ

# === Common Odia female first names ===

female_names
Manisha ମନୀଷା
Pinki ପିଙ୍କି
Lipsa ଲିପ୍ସା
Manjusha ମଞ୍ଜୁଷା
Bandita ବନ୍ଦିତା
Charulata ଚାରୁଲତା
Hema ହେମା
Jharana ଝରଣା
Kabita କବିତା
Meera ମୀରା
Mira ମୀରା
Nibedita ନିବେଦିତା
Nikita ନିକିତା
Nirmala ନିର୍ମଳା
Padma ପଦ୍ମା
Purnima ପୂର୍ଣ୍ଣିମା
Rajshree ରାଜଶ୍ରୀ
Rashmita ରଶ୍ମିତା
Rituparna ରିତୁପର୍ଣ୍ଣା
Subhadra ସୁଭଦ୍ରା
Subhashree ସୁଭାଶ୍ରୀ
Sudipta ସୁଦୀପ୍ତା
Susmita ସୁସ୍ମିତା
Swati ସ୍ୱାତୀ
Renuka ରେଣୁକା
Snigdha ସ୍ନିଗ୍ଧା
Aruna ଅରୁଣା
Bijaya Laxmi ବିଜୟ ଲକ୍ଷ୍ମୀ
Lakshmi ଲକ୍ଷ୍ମୀ
Mukta ମୁକ୍ତା

# === Days of week ===

days
Monday ସୋମବାର
Tuesday ମଙ୍ଗଳବାର
Wednesday ବୁଧବାର
Thursday ଗୁରୁବାର
Friday ଶୁକ୍ରବାର
Saturday ଶନିବାର
Sunday ରବିବାର

# === Months ===

months
January ଜାନୁଆରୀ
February ଫେବ୍ରୁଆରୀ
March ମାର୍ଚ୍ଚ
April ଅପ୍ରେଲ
June ଜୁନ
July ଜୁଲାଇ
August ଅଗଷ୍ଟ
September ସେପ୍ଟେମ୍ବର
October ଅକ୍ଟୋବର
November ନଭେମ୍ବର
December ଡିସେମ୍ବର

# === Money / measurements ===

money
rupee ଟଙ୍କା
rupees ଟଙ୍କା
Rs ଟଙ୍କା
lakh ଲକ୍ଷ
lakhs ଲକ୍ଷ
crore କୋଟି
crores କୋଟି
thousand ହଜାର
hundred ଶହ
million ମିଲିୟନ
billion ବିଲିୟନ
percent ପ୍ରତିଶତ
kilometer କିଲୋମିଟର
kilometre କିଲୋମିଟର
meter ମିଟର
kilogram କିଲୋଗ୍ରାମ

# === Common loan words ===

loan
phone ଫୋନ
mobile ମୋବାଇଲ
computer କମ୍ପ୍ୟୁଟର
laptop ଲାପଟପ
internet ଇଣ୍ଟରନେଟ
email ଇମେଲ
website ୱେବସାଇଟ
school ସ୍କୁଲ
college କଲେଜ
university ବିଶ୍ୱବିଦ୍ୟାଳୟ
student ଛାତ୍ର
teacher ଶିକ୍ଷକ
office କାର୍ଯ୍ୟାଳୟ
company କମ୍ପାନୀ
bank ବ୍ୟାଙ୍କ
business ବ୍ୟବସାୟ
hospital ହସ୍ପିଟାଲ
doctor ଡାକ୍ତର
medicine ଔଷଧ
ambulance ଆମ୍ବୁଲାନ୍ସ
patient ରୋଗୀ
police ପୋଲିସ
station ଷ୍ଟେସନ
court କୋର୍ଟ
judge ବିଚାରପତି
lawyer ଓକିଲ
market ବଜାର
shop ଦୋକାନ
customer ଗ୍ରାହକ
money ଟଙ୍କା
government ସରକାର
news ଖବର
newspaper ଖବରକାଗଜ
media ମିଡିଆ
channel ଚ୍ୟାନେଲ
water ପାଣି
electricity ବିଦ୍ୟୁତ
gas ଗ୍ୟାସ
road ରାସ୍ତା
bridge ସେତୁ
building କୋଠା
house ଘର
village ଗାଁ
town ସହର
city ସହର
district ଜିଲ୍ଲା
state ରାଜ୍ୟ
country ଦେଶ
bus ବସ
car କାର
train ଟ୍ରେନ
ticket ଟିକଟ
airport ବିମାନ ବନ୍ଦର
flight ବିମାନ
ship ଜାହାଜ
port ବନ୍ଦର
church ଚର୍ଚ୍ଚ
mosque ମସଜିଦ
school bus ସ୍କୁଲ ବସ
petrol ପେଟ୍ରୋଲ
diesel ଡିଜେଲ
school children ସ୍କୁଲ ପିଲା
village panchayat ଗ୍ରାମ ପଞ୍ଚାୟତ
panchayat ପଞ୍ଚାୟତ
block ବ୍ଲକ
tehsil ତହସିଲ
zone ଜୋନ

# === Government & politics ===

gov
BJP ବିଜେପି
BJD ବିଜେଡି
Congress କଂଗ୍ରେସ
CPI ସିପିଆଇ
CPM ସିପିଏମ
AAP ଆପ୍
MLA ବିଧାୟକ
MP ସାଂସଦ
Sarpanch ସରପଞ୍ଚ
Collector କଲେକ୍ଟର
DM ଡିଏମ
SP ଏସପି
DGP ଡିଜିପି
IAS ଆଇଏଏସ
IPS ଆଇପିଏସ
OAS ଓଏଏସ
Chief Minister ମୁଖ୍ୟମନ୍ତ୍ରୀ
Prime Minister ପ୍ରଧାନମନ୍ତ୍ରୀ
President ରାଷ୍ଟ୍ରପତି
minister ମନ୍ତ୍ରୀ
election ନିର୍ବାଚନ
vote ଭୋଟ
voter ଭୋଟର
party ଦଳ
assembly ବିଧାନସଭା
parliament ସଂସଦ
Lok Sabha ଲୋକସଭା
Rajya Sabha ରାଜ୍ୟସଭା
budget ବଜେଟ
policy ନୀତି
scheme ଯୋଜନା
law ଆଇନ

# === Festivals ===

festivals
Diwali ଦୀପାବଳି
Deepavali ଦୀପାବଳି
Holi ହୋଲି
Durga Puja ଦୁର୍ଗା ପୂଜା
Rath Yatra ରଥଯାତ୍ରା
Christmas କ୍ରିସମାସ
Eid ଈଦ
Janmashtami ଜନ୍ମାଷ୍ଟମୀ
Kumar Purnima କୁମାର ପୂର୍ଣ୍ଣିମା
Nuakhai ନୂଆଖାଇ
Kartik Purnima କାର୍ତ୍ତିକ ପୂର୍ଣ୍ଣିମା
Makar Sankranti ମକର ସଂକ୍ରାନ୍ତି
Saraswati Puja ସରସ୍ୱତୀ ପୂଜା
Ganesh Puja ଗଣେଶ ପୂଜା
Bali Yatra ବାଲିଯାତ୍ରା

# === Tech & social media brands ===

tech
WhatsApp ୱାଟ୍ସଆପ
Facebook ଫେସବୁକ
Google ଗୁଗଲ
YouTube ୟୁଟ୍ୟୁବ
Instagram ଇନଷ୍ଟାଗ୍ରାମ
Twitter ଟ୍ୱିଟର
Telegram ଟେଲିଗ୍ରାମ
Microsoft ମାଇକ୍ରୋସଫ୍ଟ
Apple ଆପଲ
Amazon ଆମାଜନ
Netflix ନେଟଫ୍ଲିକ୍ସ
Zoom ଜୁମ
SMS ଏସଏମଏସ
ATM ଏଟିଏମ
UPI ୟୁପିଆଇ

# === Time & directions ===

time
today ଆଜି
tomorrow ଆସନ୍ତାକାଲି
yesterday ଗତକାଲି
morning ସକାଳ
evening ସନ୍ଧ୍ୟା
night ରାତି
noon ମଧ୍ୟାହ୍ନ
midnight ମଧ୍ୟରାତ୍ର
week ସପ୍ତାହ
month ମାସ
year ବର୍ଷ
east ପୂର୍ବ
west ପଶ୍ଚିମ
north ଉତ୍ତର
south ଦକ୍ଷିଣ

# === Common Odia male first names not yet covered ===

more_male
Akshay ଅକ୍ଷୟ
Aditya ଆଦିତ୍ୟ
Aryan ଆର୍ଯ୍ୟନ
Bibhu Prasad ବିଭୁ ପ୍ରସାଦ
Biswanath ବିଶ୍ୱନାଥ
Birendra ବୀରେନ୍ଦ୍ର
Brundaban ବୃନ୍ଦାବନ
Brajesh ବ୍ରଜେଶ
Debendra ଦେବେନ୍ଦ୍ର
Debaraj ଦେବରାଜ
Dharmendra ଧର୍ମେନ୍ଦ୍ର
Dibyajyoti ଦିବ୍ୟଜ୍ୟୋତି
Hrushikesh ହୃଷୀକେଶ
Itish ଇତିଶ
Jagdish ଜଗଦୀଶ
Jayadeb ଜୟଦେବ
Jayaram ଜୟରାମ
Kalandi କାଳନ୍ଦୀ
Karunakar କରୁଣାକର
Lokanath ଲୋକନାଥ
Maheswar ମହେଶ୍ୱର
Maheshwar ମହେଶ୍ୱର
Mrutyunjay ମୃତ୍ୟୁଞ୍ଜୟ
Nilakantha ନୀଳକଣ୍ଠ
Nilamadhab ନୀଳମାଧବ
Nrupesh ନୃପେଶ
Pranay ପ୍ରଣୟ
Pramod Kumar ପ୍ରମୋଦ କୁମାର
Rajeev ରାଜୀବ
Rajkumar ରାଜକୁମାର
Ranjit ରଞ୍ଜିତ
Rashmiranjan ରଶ୍ମିରଞ୍ଜନ
Sanatan ସନାତନ
Saroj Kumar ସରୋଜ କୁମାର
Sushant ସୁଶାନ୍ତ
Sushil ସୁଶୀଳ
Suvendu ଶୁଭେନ୍ଦୁ
Umesh ଉମେଶ
Yudhishthir ଯୁଧିଷ୍ଠିର

